feature,iv,dtype,n_bins,error
Negative_Balance_Days,5.431303591866904,numerical,3.0,
Avg_Balance_3M,3.170701177960229,numerical,2.0,
No_of_Inquiries_6M,2.9016373477888044,numerical,3.0,
Avg_Balance_6M,2.8091233811800027,numerical,2.0,
Months_Since_Most_Recent_Delinquency,2.431545126866161,numerical,2.0,
No_of_Inquiries_12M,1.586936554015896,numerical,4.0,
Savings_Account_Balance,1.383982457521748,numerical,3.0,
Outstanding_Loans,1.1753325782989599,numerical,3.0,
Income_INR,1.1101175909922536,numerical,2.0,
Total_Current_Balance,0.38491417748967605,numerical,4.0,
No_of_Open_Accounts,0.3112686939141352,numerical,4.0,
Total_EMI_Paid,0.2898998217525546,numerical,4.0,
Cash_Withdrawal_3M,0.22974400286886176,numerical,4.0,
Behavior_Spending_Score,0.21914958008005042,numerical,4.0,
Total_Credit_Limit,0.19257821039627893,numerical,4.0,
Interest_Rate_Pct,0.1711828872054607,numerical,4.0,
Employment_Years,0.1631806420294874,numerical,4.0,
Monthly_Spend,0.14621968306457694,numerical,4.0,
Avg_Monthly_Salary_Credit,0.14121642117756328,numerical,4.0,
Max_Credit_Exposure,0.13813946023175416,numerical,3.0,
Credit_History_Length,0.13801105284614437,numerical,4.0,
Newest_Trade_Open_Months,0.12660956148992975,numerical,4.0,
Credit_Utilization_Ratio,0.11914533401461085,numerical,4.0,
Loan_Tenure_Months,0.10778023250430194,numerical,4.0,
EMI_Amount,0.10219929380447539,numerical,4.0,
No_of_Closed_Accounts,0.0990415983042027,numerical,3.0,
UPI_Txn_Count_3M,0.09472964386042802,numerical,4.0,
Oldest_Trade_Open_Months,0.09448158199471797,numerical,3.0,
ECS_Mandate_Count,0.09297947209254769,numerical,4.0,
Merchant_Spend_Pct,0.09107756137367241,numerical,4.0,
Age,0.06185824958037456,numerical,4.0,
Transaction_Count_3M,0.05524340009134929,numerical,4.0,
Loan_Amount,0.020880629554945455,numerical,4.0,
Prepayment_Count,0.006099216693877954,numerical,4.0,
Delinquency_12M,0.0,numerical,1.0,
Behavior_Repayment_Score,0.0,numerical,1.0,
Credit_Card_Utilization,0.0,numerical,1.0,
DPD_90,0.0,numerical,1.0,
DPD_30,0.0,numerical,1.0,
Missed_Payment_Count,0.0,numerical,1.0,
Max_DPD_12M,0.0,numerical,1.0,
Bounce_Count_6M,0.0,numerical,1.0,
DPD_60,0.0,numerical,1.0,
Max_DPD_3M,0.0,numerical,1.0,
Late_Payment_Count_12M,0.0,numerical,1.0,
Paid_On_Time_Pct,0.0,numerical,1.0,
Max_DPD_6M,0.0,numerical,1.0,
Marital_Status,,numerical,,could not convert string to float: 'Married'
Education_Level,,numerical,,could not convert string to float: 'Graduate'
Loan_Type,,numerical,,could not convert string to float: 'Education Loan'
Pay_History,,numerical,,could not convert string to float: 'Average'
Salary_Credit_Frequency,,numerical,,could not convert string to float: 'Monthly'
Current_DPD_Bucket,,numerical,,could not convert string to float: 'Current'
Prev_DPD_Bucket,,numerical,,could not convert string to float: 'Current'
